flanger_intensity,delay_time,disto_drive,reverb_room_size,reverb_on_off,delay_on_off,flanger_width,flanger_rate,disto_tone,filter_on_off,delay_feedback,delay_intensity,flanger_on_off,reverb_bright,filter_resonance,flanger_mode,disto_on_off,filter_mode_LBF_HPF,filter_frequency,file
0.629921259843,0.944881889764,2.75590551181,6.37795275591,"off","on",1.49606299213,1.65354330709,7.16535433071,"off",5.5905511811,8.34645669291,"on",2.12598425197,4.25196850394,"pitchmod","on",5.74803149606,3.38582677165,"s0.wav"
5.03937007874,4.64566929134,0.0787401574803,4.8031496063,"off","on",9.76377952756,7.32283464567,4.96062992126,"off",4.96062992126,4.25196850394,"off",7.08661417323,3.77952755906,"flanger","off",6.14173228346,4.64566929134,"s1.wav"
2.44094488189,0.472440944882,6.69291338583,7.08661417323,"off","off",5.27559055118,8.03149606299,0.314960629921,"on",0.314960629921,6.14173228346,"on",1.1811023622,7.00787401575,"flanger","off",1.33858267717,6.22047244094,"s2.wav"
9.6062992126,2.28346456693,9.37007874016,7.08661417323,"off","off",6.92913385827,3.62204724409,7.16535433071,"on",7.16535433071,3.46456692913,"off",0.472440944882,0.157480314961,"pitchmod","off",5.1968503937,4.56692913386,"s3.wav"
7.00787401575,3.22834645669,9.92125984252,4.33070866142,"on","on",7.48031496063,0.472440944882,5.9842519685,"off",1.41732283465,8.97637795276,"off",8.89763779528,8.50393700787,"chorus","on",3.14960629921,4.33070866142,"s4.wav"
4.8031496063,2.44094488189,3.54330708661,1.73228346457,"on","off",6.61417322835,3.93700787402,5.1968503937,"on",3.85826771654,9.52755905512,"off",7.95275590551,6.85039370079,"chorus","off",7.79527559055,6.06299212598,"s5.wav"
3.77952755906,0.0787401574803,6.14173228346,4.56692913386,"off","off",0.944881889764,3.77952755906,6.69291338583,"on",2.12598425197,6.92913385827,"on",4.33070866142,6.61417322835,"pitchmod","on",9.37007874016,5.5905511811,"s6.wav"
2.20472440945,1.96850393701,3.30708661417,1.41732283465,"on","off",1.57480314961,8.18897637795,8.8188976378,"off",3.70078740157,2.20472440945,"on",2.59842519685,2.44094488189,"chorus","off",0.0787401574803,6.45669291339,"s7.wav"
5.66929133858,2.51968503937,8.42519685039,6.22047244094,"off","off",8.89763779528,8.26771653543,5.66929133858,"off",8.89763779528,5.5905511811,"on",1.41732283465,8.50393700787,"pitchmod","on",4.09448818898,3.70078740157,"s8.wav"
8.66141732283,1.81102362205,9.52755905512,3.22834645669,"off","off",1.96850393701,7.32283464567,3.93700787402,"on",8.11023622047,4.25196850394,"on",7.48031496063,8.42519685039,"pitchmod","on",1.81102362205,4.4094488189,"s9.wav"
7.95275590551,2.20472440945,3.54330708661,0.157480314961,"on","off",9.84251968504,7.71653543307,4.48818897638,"off",4.56692913386,7.63779527559,"off",9.37007874016,9.29133858268,"pitchmod","off",2.12598425197,4.25196850394,"s10.wav"
3.22834645669,1.49606299213,3.93700787402,5.9842519685,"off","on",9.44881889764,9.92125984252,2.99212598425,"on",7.55905511811,6.92913385827,"off",2.83464566929,5.9842519685,"flanger","on",7.71653543307,4.09448818898,"s11.wav"
3.38582677165,0.0,0.0,0.708661417323,"off","on",6.85039370079,2.20472440945,4.17322834646,"off",4.17322834646,7.16535433071,"on",8.18897637795,6.06299212598,"pitchmod","on",2.36220472441,4.0157480315,"s12.wav"
2.51968503937,0.393700787402,8.89763779528,1.49606299213,"off","on",6.06299212598,1.1811023622,8.11023622047,"off",0.629921259843,1.88976377953,"off",2.91338582677,6.22047244094,"flanger","on",9.05511811024,6.45669291339,"s13.wav"
1.49606299213,2.75590551181,7.16535433071,6.53543307087,"off","off",6.45669291339,4.25196850394,9.05511811024,"off",4.96062992126,3.07086614173,"on",9.68503937008,5.27559055118,"pitchmod","on",3.30708661417,4.09448818898,"s14.wav"
4.0157480315,0.787401574803,4.64566929134,6.45669291339,"on","off",2.75590551181,4.25196850394,1.41732283465,"on",6.77165354331,7.95275590551,"off",9.2125984252,6.29921259843,"chorus","on",0.0787401574803,5.90551181102,"s15.wav"
7.24409448819,1.25984251969,3.93700787402,8.89763779528,"on","on",2.51968503937,6.69291338583,6.77165354331,"on",9.13385826772,0.629921259843,"on",7.55905511811,1.02362204724,"pitchmod","off",4.09448818898,5.1968503937,"s16.wav"
2.20472440945,1.88976377953,0.472440944882,3.46456692913,"on","off",8.58267716535,4.09448818898,8.74015748031,"on",0.944881889764,3.38582677165,"on",9.05511811024,9.29133858268,"flanger","off",5.11811023622,5.43307086614,"s17.wav"
0.866141732283,4.8031496063,7.24409448819,7.79527559055,"off","off",3.62204724409,7.63779527559,1.57480314961,"off",8.03149606299,0.0787401574803,"off",1.33858267717,10.0,"chorus","on",8.8188976378,3.85826771654,"s18.wav"
4.96062992126,0.866141732283,0.0,1.1811023622,"off","off",4.48818897638,5.66929133858,8.74015748031,"on",0.236220472441,5.5905511811,"off",7.95275590551,6.29921259843,"flanger","off",2.59842519685,4.0157480315,"s19.wav"
8.58267716535,4.09448818898,7.08661417323,0.0787401574803,"on","on",8.8188976378,3.38582677165,7.32283464567,"off",8.26771653543,8.34645669291,"off",1.96850393701,5.66929133858,"flanger","on",9.76377952756,5.66929133858,"s20.wav"
7.32283464567,4.88188976378,5.74803149606,0.314960629921,"on","off",4.33070866142,1.65354330709,8.8188976378,"off",2.44094488189,4.8031496063,"off",1.49606299213,0.866141732283,"chorus","off",5.5905511811,3.77952755906,"s21.wav"
1.41732283465,4.33070866142,9.84251968504,5.74803149606,"off","on",2.12598425197,8.03149606299,7.40157480315,"on",9.92125984252,3.70078740157,"off",3.70078740157,7.00787401575,"pitchmod","on",1.73228346457,3.38582677165,"s22.wav"
9.2125984252,3.54330708661,1.10236220472,1.65354330709,"on","off",8.97637795276,0.629921259843,8.11023622047,"off",4.56692913386,8.58267716535,"off",5.27559055118,7.63779527559,"flanger","off",9.29133858268,4.64566929134,"s23.wav"
3.85826771654,0.472440944882,3.07086614173,2.59842519685,"on","on",7.24409448819,4.33070866142,1.1811023622,"on",5.66929133858,7.24409448819,"off",1.88976377953,2.75590551181,"chorus","on",7.48031496063,5.90551181102,"s24.wav"
0.629921259843,2.36220472441,0.629921259843,7.71653543307,"on","on",1.88976377953,5.5905511811,4.64566929134,"off",7.00787401575,5.1968503937,"off",6.92913385827,8.50393700787,"flanger","off",9.6062992126,6.61417322835,"s25.wav"
3.85826771654,0.787401574803,8.50393700787,2.83464566929,"off","off",4.96062992126,7.48031496063,7.48031496063,"off",0.0787401574803,6.53543307087,"off",4.88188976378,2.12598425197,"chorus","on",4.25196850394,6.45669291339,"s26.wav"
1.81102362205,0.866141732283,7.40157480315,3.77952755906,"off","on",6.22047244094,0.787401574803,9.13385826772,"off",1.33858267717,1.73228346457,"on",2.91338582677,1.1811023622,"pitchmod","off",0.236220472441,6.06299212598,"s27.wav"
7.48031496063,3.93700787402,9.29133858268,3.14960629921,"on","off",9.76377952756,9.44881889764,9.44881889764,"off",8.03149606299,1.25984251969,"off",9.84251968504,7.55905511811,"pitchmod","on",7.55905511811,4.64566929134,"s28.wav"
9.13385826772,1.25984251969,9.44881889764,6.45669291339,"on","on",3.62204724409,5.66929133858,6.61417322835,"off",5.27559055118,9.68503937008,"off",7.63779527559,7.87401574803,"pitchmod","off",4.72440944882,4.96062992126,"s29.wav"
6.53543307087,0.472440944882,7.95275590551,8.8188976378,"on","off",8.34645669291,8.8188976378,2.67716535433,"on",9.84251968504,8.97637795276,"off",0.551181102362,7.32283464567,"flanger","on",2.28346456693,5.66929133858,"s30.wav"
9.29133858268,3.54330708661,0.629921259843,0.629921259843,"off","off",4.4094488189,9.68503937008,0.393700787402,"on",4.72440944882,4.25196850394,"on",1.65354330709,7.32283464567,"flanger","on",3.07086614173,6.61417322835,"s31.wav"
5.82677165354,3.54330708661,7.40157480315,8.50393700787,"on","on",1.49606299213,1.33858267717,4.4094488189,"on",8.66141732283,9.37007874016,"on",5.35433070866,4.25196850394,"flanger","on",6.85039370079,4.96062992126,"s32.wav"
8.11023622047,1.25984251969,4.33070866142,9.37007874016,"off","off",1.49606299213,8.66141732283,9.37007874016,"on",3.77952755906,4.0157480315,"off",7.79527559055,3.62204724409,"pitchmod","on",1.49606299213,5.74803149606,"s33.wav"
5.5905511811,2.59842519685,3.62204724409,6.06299212598,"on","on",7.24409448819,2.83464566929,0.393700787402,"off",5.35433070866,9.6062992126,"off",1.10236220472,0.787401574803,"chorus","on",9.05511811024,5.90551181102,"s34.wav"
3.77952755906,4.17322834646,8.89763779528,1.49606299213,"on","on",1.65354330709,9.37007874016,3.85826771654,"on",8.34645669291,0.629921259843,"off",7.79527559055,2.12598425197,"pitchmod","off",9.29133858268,4.64566929134,"s35.wav"
1.33858267717,4.33070866142,0.393700787402,8.58267716535,"on","off",9.29133858268,3.62204724409,3.38582677165,"on",9.92125984252,9.52755905512,"on",5.43307086614,7.00787401575,"chorus","on",2.67716535433,5.51181102362,"s36.wav"
7.55905511811,1.81102362205,5.1968503937,0.314960629921,"on","on",8.8188976378,9.68503937008,4.4094488189,"off",3.54330708661,0.314960629921,"on",3.22834645669,1.88976377953,"pitchmod","off",2.12598425197,5.11811023622,"s37.wav"
9.29133858268,3.30708661417,2.20472440945,8.66141732283,"off","off",4.64566929134,8.8188976378,3.22834645669,"on",7.48031496063,6.29921259843,"off",0.472440944882,1.88976377953,"chorus","on",8.18897637795,6.53543307087,"s38.wav"
3.30708661417,3.30708661417,0.314960629921,7.55905511811,"on","on",0.944881889764,1.41732283465,2.36220472441,"off",8.11023622047,1.10236220472,"on",6.06299212598,7.95275590551,"chorus","on",2.28346456693,3.85826771654,"s39.wav"
6.06299212598,3.54330708661,7.16535433071,4.96062992126,"on","off",6.06299212598,1.81102362205,4.4094488189,"on",8.74015748031,8.03149606299,"on",5.5905511811,4.96062992126,"pitchmod","on",4.0157480315,3.38582677165,"s40.wav"
8.8188976378,1.96850393701,6.14173228346,3.77952755906,"off","off",7.24409448819,1.65354330709,8.11023622047,"on",1.02362204724,5.51181102362,"on",2.12598425197,4.8031496063,"flanger","off",9.52755905512,5.43307086614,"s41.wav"
1.33858267717,4.17322834646,6.14173228346,7.63779527559,"on","on",8.97637795276,8.11023622047,3.14960629921,"off",7.55905511811,4.48818897638,"off",2.51968503937,5.11811023622,"flanger","off",5.74803149606,4.4094488189,"s42.wav"
