filter_reso,mixer_noise,mixer_osc2,mixer_osc1,env_amplifier_attack,osc2_octave,env_amplifier_decay,filter_cutoff,mod_wave_amount,mod_lfo_rate,osc1_sync_osc2,env_amplifier_sustain,mod_pitch_osc2,env_filter_sustain,mixer_sub,env_filter_release,osc2_frequency,osc1_octave,mod_filter_amount,mod_source,osc1_wave,filter_kb_tracking_amount,env_filter_attack,env_filter_decay,filter_eg_amount,osc2_wave,filter_multidrive,env_amplifier_release,mod_pitch_amount,file
0.698284807422,1.86229628273,2.76811328816,6.40419947507,1.64866019655,"2f",1.51315387902,1.68101080388,7.16718549716,3.44747604224,"ON",8.32143075139,"ON",2.12110114143,4.26051394738,6.49087468718,9.22480620155,"4f",0.382103399866,"Ramp",9.20344259293,0.0897271561985,4.79338338522,3.71909906611,6.60074467436,9.73203930904,7.28743209424,4.93743514619,1.67673808216,"s0.wav"
4.97039614234,4.24220228285,0.766648355002,7.05548434353,3.82530672038,"2f",2.2273087957,6.10571934322,4.00842336568,2.4757370445,"OFF",6.69779649637,"ON",2.91277543795,0.0714154916682,5.23957761094,8.03821033999,"16f",6.55679667948,"Triangle",6.15149850455,8.42031373985,1.19086858329,6.97735457486,7.19770493805,2.19495818837,1.35445278642,8.75602758957,9.56235121773,"s1.wav"
4.57791613258,9.30781908075,7.04388695599,4.22938411768,3.26985289629,"4f",3.63120307636,7.14399072209,5.76634316059,7.11041933712,"OFF",2.83037294757,"OFF",0.188610144662,4.06396874809,1.66819263871,5.16938289691,"8f",6.95660135506,"Ramp",9.90355856681,4.3130073857,9.47628639443,5.12238295794,7.47848379418,0.516999328572,5.99768052249,3.53109931026,1.48385521577,"s2.wav"
8.95318317768,0.983946774095,8.84209241287,8.51492400659,0.371726789965,"2f",3.19965818226,3.23383995605,4.79338338522,4.89226637368,"OFF",1.77256912653,"ON",0.335713849722,6.56473173411,3.9675273149,5.20234389306,"2f",3.83202099738,"FilterEnv",0.245986693524,7.8935481902,6.81438076054,1.69993285723,1.44662149789,7.76963926021,8.26344381371,3.7740340597,0.278947689678,"s3.wav"
6.1118232314,4.60904596228,2.62161997192,4.25807239211,1.0083623268,"8f",6.66178355613,9.54037722029,2.12598425197,6.94927668925,"ON",4.2989684429,"ON",5.9634987487,5.47823963865,9.3578709638,6.87969236404,"16f",3.93700787402,"Square",1.42098516755,6.26136849173,4.26051394738,1.57541353842,8.13953488372,8.75846914485,0.531038271379,3.73863150827,2.19007507782,"s4.wav"
7.19526338277,2.60147714094,2.46291887933,0.476713666606,0.427272172374,"16f",9.51107855704,5.64060306415,5.03143502411,8.40444363059,"ON",4.76286394433,"OFF",8.83171580297,8.26710614662,5.69492766893,0.0567661600439,"2f",5.60275895746,"FilterEnv",1.47530977232,8.46120979064,4.81108466093,8.30189830922,4.1195141305,1.23298541171,8.6083134957,3.61411218946,9.49154611488,"s5.wav"
3.20759323689,1.13227125679,4.63773423671,2.01794543124,7.27278276262,"8f",8.94830006714,8.10901544284,4.22022828542,7.27644509553,"ON",8.41482024049,"ON",6.94256241226,1.83055606421,3.33760605506,7.95947018251,"8f",3.57138497223,"Triangle",5.71018738937,4.99603247269,9.79246780199,7.69273026918,4.49368247574,2.14185436123,4.59378624184,7.57858756028,0.368674845877,"s6.wav"
9.34627357627,9.23762436672,5.20905817005,1.82017945431,2.13636086187,"8f",3.2320087896,3.00189220533,3.93456631875,6.00073246658,"OFF",9.78880546908,"ON",9.84679240676,3.04461942257,9.26997497406,7.50289934688,"4f",1.79759506806,"Square",5.97997924678,9.16315693097,7.61765244461,7.69150949155,2.45254226943,3.43526826589,0.147714093878,0.0665323811268,0.715986083135,"s7.wav"
0.8459989013,8.43679423793,6.80034181774,2.26454251358,4.14576084966,"16f",4.21107245315,7.12445827992,7.19709454923,8.16089849234,"ON",3.80821583349,"ON",2.36464627968,2.15894524812,2.50747726302,0.877739119819,"2f",1.51498504547,"Square",7.94909357261,6.06909601416,1.23542696698,8.08521027895,0.355856680706,0.639687480925,1.92089360923,0.452908502716,2.96587926509,"s8.wav"
6.18629066715,7.43819813221,8.13343099554,9.04229994507,9.44027345419,"16f",5.40438259171,7.12323750229,6.50064090826,2.65397057926,"OFF",6.45486174693,"OFF",8.9849233962,0.25758408106,4.95574681072,3.10626869316,"2f",9.62216932186,"Ramp",5.89818714521,6.92302997009,3.33699566624,2.35793200269,4.01391686504,1.60654336813,4.64017579198,6.45242019166,9.04474150034,"s9.wav"
